# vtk DataFile Version 2.0
field data: pressure, temperature
ASCII
DATASET STRUCTURED_POINT
DIMENSIONS          100         100
ORIGIN      0.4950E-02      0.4950E-02
SPACING      0.9901E-02      0.9901E-02
     0.1406E+06,      0.2727E+00
     0.1406E+06,      0.2626E+00
     0.1406E+06,      0.2525E+00
     0.1406E+06,      0.2424E+00
     0.1406E+06,      0.2323E+00
     0.1406E+06,      0.2222E+00
     0.1406E+06,      0.2121E+00
     0.1406E+06,      0.2020E+00
     0.1406E+06,      0.1919E+00
     0.1406E+06,      0.1818E+00
     0.1406E+06,      0.1717E+00
     0.1406E+06,      0.1616E+00
     0.1406E+06,      0.1515E+00
     0.1406E+06,      0.1414E+00
     0.1406E+06,      0.1313E+00
     0.1406E+06,      0.1212E+00
     0.1406E+06,      0.1111E+00
     0.1406E+06,      0.1010E+00
     0.1406E+06,      0.9091E-01
     0.1406E+06,      0.8081E-01
     0.1406E+06,      0.7071E-01
     0.1406E+06,      0.6061E-01
     0.1406E+06,      0.5051E-01
     0.1406E+06,      0.4041E-01
     0.1406E+06,      0.3031E-01
     0.1406E+06,      0.2020E-01
     0.1406E+06,      0.1010E-01
     0.1406E+06,      0.1020E-05
     0.1391E+06,      0.1000E+01
     0.1391E+06,      0.9899E+00
     0.1391E+06,      0.9798E+00
     0.1391E+06,      0.9697E+00
     0.1391E+06,      0.9596E+00
     0.1391E+06,      0.9495E+00
     0.1391E+06,      0.9394E+00
     0.1391E+06,      0.9293E+00
     0.1391E+06,      0.9191E+00
     0.1391E+06,      0.9090E+00
     0.1391E+06,      0.8989E+00
     0.1391E+06,      0.8888E+00
     0.1391E+06,      0.8787E+00
     0.1391E+06,      0.8686E+00
     0.1391E+06,      0.8585E+00
     0.1391E+06,      0.8484E+00
     0.1391E+06,      0.8383E+00
     0.1391E+06,      0.8282E+00
     0.1391E+06,      0.8181E+00
     0.1391E+06,      0.8080E+00
     0.1391E+06,      0.7979E+00
     0.1391E+06,      0.7878E+00
     0.1391E+06,      0.7776E+00
     0.1391E+06,      0.7675E+00
     0.1391E+06,      0.7574E+00
     0.1391E+06,      0.7473E+00
     0.1391E+06,      0.7372E+00
     0.1391E+06,      0.7271E+00
     0.1391E+06,      0.7170E+00
     0.1391E+06,      0.7069E+00
     0.1391E+06,      0.6968E+00
     0.1391E+06,      0.6867E+00
     0.1391E+06,      0.6766E+00
     0.1391E+06,      0.6665E+00
     0.1391E+06,      0.6564E+00
     0.1391E+06,      0.6463E+00
     0.1391E+06,      0.6362E+00
     0.1391E+06,      0.6261E+00
     0.1391E+06,      0.6160E+00
     0.1391E+06,      0.6059E+00
     0.1391E+06,      0.5958E+00
     0.1391E+06,      0.5857E+00
     0.1391E+06,      0.5756E+00
     0.1391E+06,      0.5655E+00
     0.1391E+06,      0.5554E+00
     0.1391E+06,      0.5453E+00
     0.1391E+06,      0.5352E+00
     0.1391E+06,      0.5251E+00
     0.1391E+06,      0.5150E+00
     0.1391E+06,      0.5049E+00
     0.1391E+06,      0.4948E+00
     0.1391E+06,      0.4847E+00
     0.1391E+06,      0.4746E+00
     0.1391E+06,      0.4645E+00
     0.1391E+06,      0.4544E+00
     0.1391E+06,      0.4443E+00
     0.1391E+06,      0.4342E+00
     0.1391E+06,      0.4241E+00
     0.1391E+06,      0.4140E+00
     0.1391E+06,      0.4039E+00
     0.1391E+06,      0.3938E+00
     0.1391E+06,      0.3837E+00
     0.1391E+06,      0.3736E+00
     0.1391E+06,      0.3635E+00
     0.1391E+06,      0.3534E+00
     0.1391E+06,      0.3433E+00
     0.1391E+06,      0.3332E+00
     0.1391E+06,      0.3232E+00
     0.1391E+06,      0.3131E+00
     0.1391E+06,      0.3030E+00
     0.1391E+06,      0.2929E+00
     0.1391E+06,      0.2828E+00
     0.1391E+06,      0.2727E+00
     0.1391E+06,      0.2626E+00
     0.1391E+06,      0.2525E+00
     0.1391E+06,      0.2424E+00
     0.1391E+06,      0.2323E+00
     0.1391E+06,      0.2222E+00
     0.1391E+06,      0.2121E+00
     0.1391E+06,      0.2020E+00
     0.1391E+06,      0.1919E+00
     0.1391E+06,      0.1818E+00
     0.1391E+06,      0.1717E+00
     0.1391E+06,      0.1616E+00
     0.1392E+06,      0.1515E+00
     0.1392E+06,      0.1414E+00
     0.1392E+06,      0.1313E+00
     0.1392E+06,      0.1212E+00
     0.1392E+06,      0.1111E+00
     0.1392E+06,      0.1010E+00
     0.1392E+06,      0.9090E-01
     0.1392E+06,      0.8080E-01
